Price,Close,High,Low,Open,Volume,Week
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2010-01-04,23.300678253173828,23.41360532145545,23.029652140541472,23.05223812857603,38409100,2010-01-04
2010-01-05,23.308208465576172,23.413608320626405,23.06729697279695,23.225396037399417,49749600,2010-01-04
2010-01-06,23.165170669555664,23.398553523933053,22.976958365973207,23.247983106688718,58182400,2010-01-04
2010-01-07,22.92425537109375,23.11246764364478,22.728514435327195,23.059767001136116,50559700,2010-01-04
2010-01-08,23.08234977722168,23.247976037067392,22.766153145919514,22.796267794588996,51197400,2010-01-04
2010-01-11,22.788742065429688,23.157637943436438,22.675814990275896,23.11999462775473,68754700,2010-01-11
2010-01-12,22.638174057006836,22.886614222868978,22.51771830604009,22.69840193249021,65912100,2010-01-11
2010-01-13,22.848970413208008,22.976954817315466,22.5930016049931,22.781213879507256,51863500,2010-01-11
2010-01-14,23.308208465576172,23.413608320626405,22.781214934108064,22.818856816375156,63228100,2010-01-11
2010-01-15,23.23293113708496,23.51901325502501,23.120002587108416,23.398557475266447,79913200,2010-01-11
2010-01-19,23.413606643676758,23.519005055232288,23.0974099730645,23.150109178842268,46575700,2010-01-18
2010-01-20,23.02965545654297,23.2931529444377,22.818857179038023,23.19528175147456,54849500,2010-01-18
2010-01-21,22.593006134033203,23.127528411550905,22.58547746922994,23.044715970606998,73086700,2010-01-18
2010-01-22,21.802507400512695,22.736041469093376,21.712166320292358,22.585471087465375,102004600,2010-01-18
2010-01-25,22.073535919189453,22.329504734291575,21.90790963010103,22.013308047162234,63373000,2010-01-25
2010-01-26,22.209047317504883,22.472544776257628,21.900379317120297,21.983193173400036,66639900,2010-01-25
2010-01-27,22.337034225463867,22.449961310206085,21.847682567617067,22.096122728428263,63949500,2010-01-25
2010-01-28,21.95307731628418,22.487600867369675,21.749807736183545,22.465014879821087,117513700,2010-01-25
2010-01-29,21.21528434753418,22.525241391861684,20.82380253586514,22.510184067733153,193888500,2010-01-25
2010-02-01,21.388446807861328,21.441146024945297,21.019550852327566,21.3733894784242,85931100,2010-02-01
2010-02-02,21.426082611083984,21.456197261406494,21.18517115228615,21.358327519749462,54413700,2010-02-01
2010-02-03,21.5540714263916,21.674528616456314,21.170119607603908,21.275518033471442,61397900,2010-02-01
2010-02-04,20.959318161010742,21.4561984308495,20.93673217203784,21.365855910903527,77850000,2010-02-01
2010-02-05,21.094837188720703,21.290578174005834,20.756054438045275,21.07977985848045,80960100,2010-02-01
2010-02-08,20.868980407714844,21.14000659351178,20.75605330894811,21.087307376483704,52820600,2010-02-08
2010-02-09,21.08730697631836,21.335747163269012,20.89156600539573,21.05719231804752,59195800,2010-02-08
2010-02-10,21.072242736816406,21.260454981449577,20.959315677225597,21.102357385211537,48591300,2010-02-08
2010-02-11,21.170114517211914,21.380911318260516,20.8539178796935,21.027072805110713,65993700,2010-02-08
2010-02-12,21.02707290649414,21.124942645174947,20.763575467967406,20.936730394219495,81117200,2010-02-08
2010-02-16,21.443078994750977,21.458206733374848,21.193477078099296,21.276676755209483,51935600,2010-02-15
2010-02-17,21.624608993530273,21.66999076981219,21.450644315565718,21.57922721724836,45882900,2010-02-15
2010-02-18,21.912031173706055,21.957414397495498,21.564101780618543,21.62461130301032,42856500,2010-02-15
2010-02-19,21.760751724243164,21.87420686521059,21.700242219549846,21.77587946108159,44451800,2010-02-15
2010-02-22,21.730501174926758,21.889339562403915,21.669991656521344,21.813702303731972,36707100,2010-02-22
2010-02-23,21.427949905395508,21.806134691189754,21.246421381333526,21.692679543983573,52266200,2010-02-22
2010-02-24,21.654861450195312,21.775881915885023,21.46576904637968,21.57166177352561,43165900,2010-02-22
2010-02-25,21.632171630859375,21.66998953516285,21.19347730470042,21.382569711538945,48735300,2010-02-22
2010-02-26,21.685115814208984,21.82126256879366,21.564096797391603,21.669988076441694,40370600,2010-02-22
2010-03-01,21.94985008239746,21.972540251171914,21.579229084919998,21.760757648419524,43805400,2010-03-01
2010-03-02,21.526275634765625,22.161626140722507,21.359874861361813,21.995225367318696,93123900,2010-03-01
2010-03-03,21.526275634765625,21.639732215776775,21.443075969393895,21.56409497598946,48442100,2010-03-01
2010-03-04,21.654861450195312,21.669989188739095,21.38256936970998,21.526278557894262,42890600,2010-03-01
2010-03-05,21.624608993530273,21.692682379283475,21.496026091847636,21.677554639635954,56001800,2010-03-01
2010-03-08,21.654861450195312,21.881773200370397,21.556534034981826,21.57166177352561,39414500,2010-03-08
2010-03-09,21.783443450927734,22.017919060777924,21.594351054851415,21.601914923813727,50271600,2010-03-08
2010-03-10,21.912031173706055,22.017923919887274,21.783448258290928,21.82883148208037,44891400,2010-03-08
2010-03-11,22.070865631103516,22.07842950038463,21.82126371546889,21.851517749932803,35349700,2010-03-08
2010-03-12,22.138940811157227,22.222140494689857,21.964976131535476,22.176758717975634,31700200,2010-03-08
2010-03-15,22.154071807861328,22.214581333262803,21.94228774762572,22.070870669436466,37512000,2010-03-15
2010-03-16,22.214576721191406,22.305340269119338,22.08599382607635,22.252394625717947,36723500,2010-03-15
2010-03-17,22.411230087280273,22.59276005656137,22.237265429601422,22.312902676358462,50385700,2010-03-15
2010-03-18,22.396099090576172,22.479298746148864,22.31289799234329,22.411225382623815,43845200,2010-03-15
2010-03-19,22.380979537963867,22.615453741014164,22.199450983086795,22.509562444667715,81332100,2010-03-15
2010-03-22,22.38854217529297,22.464179429658746,22.22970379685877,22.312904920927192,37718200,2010-03-22
2010-03-23,22.600322723388672,22.61545046143319,22.244829535305527,22.38097629238518,42026600,2010-03-22
2010-03-24,22.42636489868164,22.577639439909348,22.388546984705183,22.479310555313056,33987700,2010-03-22
2010-03-25,22.698654174804688,23.12222078988482,22.53981579248672,22.56250740214948,73168700,2010-03-22
2010-03-26,22.433921813964844,22.842362083038775,22.380976173750184,22.759160966895458,55595500,2010-03-22
2010-03-29,22.380979537963867,22.554944222721804,22.35072405748733,22.471743094072046,33336000,2010-03-29
2010-03-30,22.51711654663086,22.58518990551143,22.31289646998915,22.411223853561037,34954800,2010-03-29
2010-03-31,22.154071807861328,22.47930960523121,22.063306798428673,22.418800079829733,63760000,2010-03-29
2010-04-01,22.055740356445312,22.343161650594094,21.64730146826114,22.1994510035197,74768100,2010-03-29
2010-04-05,22.138940811157227,22.259959844168936,21.95741226163966,22.033048075276476,34331200,2010-04-05
2010-04-06,22.1767578125,22.373414093779733,21.91959201718501,22.048174914842505,47366800,2010-04-05
2010-04-07,22.199440002441406,22.358276868394622,22.04060169382819,22.055729426583735,58318800,2010-04-05
2010-04-08,22.630582809448242,22.6759645901658,22.161632933164125,22.176760674290243,63713800,2010-04-05
2010-04-09,22.94825553894043,23.001201184174285,22.615452485478244,22.653271833974305,54752500,2010-04-05
2010-04-12,22.933130264282227,23.061713177667034,22.849929131309473,22.880184613358033,37068800,2010-04-12
2010-04-13,23.031452178955078,23.069270077427703,22.789412723685075,22.804540460138266,41374600,2010-04-12
2010-04-14,23.31130599975586,23.44745273030585,23.19028700430258,23.28861583977101,68941200,2010-04-12
