Price,Close,High,Low,Open,Volume
Ticker,VCB,VCB,VCB,VCB,VCB
Date,,,,,
2010-02-22,20058.099609375,20280.0,19969.30078125,19969.30078125,636668
2010-02-23,20058.099609375,20058.099609375,19791.80078125,20058.099609375,1066402
2010-02-24,20635.0,20635.0,19880.599609375,20102.5,1595694
2010-02-25,20856.900390625,20856.900390625,20324.30078125,20635.0,1498052
2010-02-26,21744.400390625,21744.400390625,20723.69921875,20768.099609375,2019411
2010-03-01,22099.400390625,22188.099609375,21744.400390625,21744.400390625,1283523
2010-03-02,21034.400390625,21700.0,21034.400390625,21566.900390625,987306
2010-03-03,21211.900390625,21300.599609375,20856.900390625,21078.69921875,451930
2010-03-04,20901.19921875,21300.599609375,20901.19921875,21300.599609375,406027
2010-03-05,20812.5,21078.69921875,20812.5,20812.5,296915
2010-03-08,20812.5,21034.400390625,20635.0,20812.5,788101
2010-03-09,21300.599609375,21300.599609375,20812.5,20812.5,954068
2010-03-10,21256.19921875,21345.0,21167.5,21211.900390625,604714
2010-03-11,21078.69921875,21389.400390625,21078.69921875,21389.400390625,204771
2010-03-12,21078.69921875,21211.900390625,20901.19921875,21211.900390625,450803
2010-03-15,20856.900390625,21123.099609375,20856.900390625,21078.69921875,756980
2010-03-16,20324.30078125,20635.0,20324.30078125,20635.0,652172
2010-03-17,19969.30078125,20635.0,19969.30078125,20413.099609375,479197
2010-03-18,20013.69921875,20191.19921875,19925.0,19969.30078125,591892
2010-03-19,19791.80078125,20013.69921875,19791.80078125,20013.69921875,735032
2010-03-22,19880.599609375,20324.30078125,19747.400390625,19747.400390625,432978
2010-03-23,19925.0,20413.099609375,19880.599609375,19925.0,452516
2010-03-24,20058.099609375,20058.099609375,19880.599609375,19969.30078125,280172
2010-03-25,19614.30078125,19925.0,19525.599609375,19791.80078125,305050
2010-03-26,20191.19921875,20191.19921875,19525.599609375,20191.19921875,641896
2010-03-29,19925.0,20191.19921875,19880.599609375,20013.69921875,372270
2010-03-30,19614.30078125,19880.599609375,19614.30078125,19747.400390625,268341
2010-03-31,19525.599609375,19880.599609375,19525.599609375,19569.900390625,335449
2010-04-01,19614.30078125,19614.30078125,19481.19921875,19614.30078125,603948
2010-04-05,19836.19921875,19969.30078125,19747.400390625,19925.0,598923
2010-04-06,19747.400390625,19880.599609375,19747.400390625,19836.19921875,560096
2010-04-07,19658.69921875,19747.400390625,19569.900390625,19747.400390625,377115
2010-04-08,19481.19921875,19658.69921875,19481.19921875,19525.599609375,600095
2010-04-09,19525.599609375,19614.30078125,19348.099609375,19348.099609375,518384
2010-04-12,19747.400390625,19747.400390625,19525.599609375,19569.900390625,665986
2010-04-13,19747.400390625,19747.400390625,19481.19921875,19614.30078125,263834
2010-04-14,19348.099609375,19481.19921875,19303.69921875,19481.19921875,189019
2010-04-15,19348.099609375,19525.599609375,19303.69921875,19525.599609375,677907
2010-04-16,19170.599609375,19392.400390625,19170.599609375,19348.099609375,510903
2010-04-19,18993.099609375,19126.19921875,18993.099609375,19081.80078125,348316
2010-04-20,18815.5,19037.400390625,18771.19921875,18993.099609375,452651
2010-04-21,18859.900390625,18859.900390625,18771.19921875,18771.19921875,330424
2010-04-22,19436.80078125,19658.69921875,18948.69921875,18993.099609375,474082
2010-04-23,19436.80078125,19436.80078125,19436.80078125,19436.80078125,0
2010-04-26,19259.30078125,19525.599609375,19259.30078125,19436.80078125,463693
2010-04-27,19481.19921875,19525.599609375,19259.30078125,19303.69921875,616184
2010-04-28,19303.69921875,19436.80078125,19259.30078125,19392.400390625,251463
2010-04-29,19081.80078125,19214.900390625,19081.80078125,19170.599609375,377791
2010-04-30,19081.80078125,19081.80078125,19081.80078125,19081.80078125,0
2010-05-03,19081.80078125,19081.80078125,19081.80078125,19081.80078125,0
2010-05-04,19614.30078125,19925.0,19081.80078125,19081.80078125,746029
2010-05-05,19214.900390625,19525.599609375,19214.900390625,19525.599609375,231993
2010-05-06,19037.400390625,19214.900390625,19037.400390625,19081.80078125,472053
2010-05-07,18859.900390625,18948.69921875,18726.80078125,18859.900390625,643203
